=== РЕЗУЛЬТАТЫ ПОИСКА АССОЦИАТИВНЫХ ПРАВИЛ ===
Фиксированный порог поддержки (min_support): 1.0%

Порог достоверности (min_confidence): 10%
Время генерации: 0.0000 сек.
Найдено правил: 333
Найденные правила (антецедент -> консеквент):
  {макароны, минеральная вода} -> {картофель-фри} | поддержка: 0.0104, достоверность: 0.1699
  {печенье} -> {шоколад} | поддержка: 0.0104, достоверность: 0.1294
  {хлопья} -> {минеральная вода} | поддержка: 0.0103, достоверность: 0.3990
  {рис} -> {гамбургер} | поддержка: 0.0103, достоверность: 0.1351
  {торт} -> {замороженные овощи} | поддержка: 0.0103, достоверность: 0.1266
  {гамбургер} -> {рис} | поддержка: 0.0103, достоверность: 0.1177
  {замороженные овощи} -> {торт} | поддержка: 0.0103, достоверность: 0.1077
  {говяжий фарш, яйца} -> {минеральная вода} | поддержка: 0.0101, достоверность: 0.5067
  {говяжий фарш, минеральная вода} -> {яйца} | поддержка: 0.0101, достоверность: 0.2476
  {суп} -> {шоколад} | поддержка: 0.0101, достоверность: 0.2005
  {минеральная вода, яйца} -> {говяжий фарш} | поддержка: 0.0101, достоверность: 0.1990
  {низкокалорийный йогурт} -> {замороженные овощи} | поддержка: 0.0101, достоверность: 0.1324
  {замороженные овощи} -> {низкокалорийный йогурт} | поддержка: 0.0101, достоверность: 0.1063
  {говяжий фарш} -> {минеральная вода, яйца} | поддержка: 0.0101, достоверность: 0.1031
--------------------------------------------------

Порог достоверности (min_confidence): 15%
